Reviews,Sentiment
  The screen came cracked and popped out of the frame. Hopefully the return process goes smoothly.,negative
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Craigs,
,
1.0 out of 5 stars,
,
                Terribly Flawed. Donâ€™t waste your time.,negative
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on October 16, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
            The screen came cracked and popped out of the frame. Hopefully the return process goes smoothly.,negative
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:RN0FL8I974XM4_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""RN0FL8I974XM4"", ""[https://images-na.ssl-images-amazon.com/images/I/611I83bFhxL._SL1600_.jpg, https://images-na.ssl-images-amazon.com/images/I/61RWc921hRL._SL1600_.jpg, https://images-na.ssl-images-amazon.com/images/I/71tgprq-49L._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
181 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Josie5.0 out of 5 stars,
Basically brand new!,positive
"Reviewed in the United States on February 24, 2020Size: 64GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  This is the best experience I have ever had with buying a renewed phone. The phone came in itâ€™s original box with original charger and cable and the phone looks excellent, not one scratch on it absolutely beautiful and the battery health was at 100%. I definitely recommend the seller GoOverstock, as I will definitely be buying from them again.",positive
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Josie,
,
5.0 out of 5 stars,
,
                Basically brand new!,positive
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on February 24, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            This is the best experience I have ever had with buying a renewed phone. The phone came in itâ€™s original box with original charger and cable and the phone looks excellent, not one scratch on it absolutely beautiful and the battery health was at 100%. I definitely recommend the seller GoOverstock, as I will definitely be buying from them again.",positive
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R38NRMPE8FUNRA_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R38NRMPE8FUNRA"", ""[https://images-na.ssl-images-amazon.com/images/I/61YDXeO8JDL.jpg, https://images-na.ssl-images-amazon.com/images/I/71EOh5jLZ6L.jpg]"", data);",
          });,
        });,
    ,
,
204 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Nicolas Guerrero3.0 out of 5 stars,
Be careful used phones,negative
"Reviewed in the United States on January 29, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Be careful mine had a scratch on screen very small but still ðŸ˜¢ their Used. People dont want used I phones with scratches,negative
,
,
192 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Alexandria5.0 out of 5 stars,
Best purchase this year,positive
"Reviewed in the United States on April 1, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  I fought it for the longest time but I finally gave in and upgraded to the iPhone 11 from the iPhone 7. I looked other places online, but the price was way out of my price point. I felt comfortable buying this phone from Amazon because it was certified refurbished and Iâ€™m still happy that I did.",positive
,
,
189 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Amanda L.3.0 out of 5 stars,
wasnâ€™t too happy with phone turning off a few times on its own once setting up.,negative
"Reviewed in the United States on November 23, 2019Size: 64GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  The box didnâ€™t come with ear phones. The phone kept turning off by itself after set up. Some apps had to be deleted before theyâ€™d quit shutting off on their own.,negative
,
,
130 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Rayanna Mills5.0 out of 5 stars,
So an amazing phone!,positive
"Reviewed in the United States on May 8, 2020Size: 64GBColor: WhiteService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
,
,
,
                    The media could not be loaded.,
                ,
,
,
,
,
"  Â I just wanna tell everybody this is NOT A SCAM!!!! This phone is so amazing, great battery life, Face ID everything. Unfortunately mine didnâ€™t come in an iPhone box but I was too much worried about that but it did come w/ a charger . Please get this phone  donâ€™t let any of these reviews scare you! I will be doing a month review on this phone for more updates. Brand new and unlocked Iâ€™m paired with cricket so everything transferred over so easily!",positive
,
,
78 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Shash Arcot5.0 out of 5 stars,
The iPhone review,neutral
"Reviewed in the United States on January 25, 2020Size: 64GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  My iPhone came with a big scuff on the corner (aluminum frame)  and a small (not really noticible) scratch on the front and back of the phone. I got the 64 gb product red unlocked iPhone 11 which was, I believe a Verizon unlocked phone. My phone came in the iPhone 11 apple box with a original apple charger and original apple brick.  When I set up my phone I just put in my T-Mobile sim and the phone started working with my data. I did not need to get it activated or anything.",positive
,
,
57 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.,
Katherine1.0 out of 5 stars,
Not FULLY Unlocked,negative
"Reviewed in the United States on February 13, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Purchased this product advertised as fully unlocked. Inserted my sim card and it did not work. Contacted my service provider and they checked my IMEI number and it reported that the phone was still locked by the original carrier. Phone came in good condition just couldn't use any service provider.,negative
,
,
432 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.brenda4.0 out of 5 stars,
"NOT EXPECTED, GREAT PURCHASE!",positive
"Reviewed in the United States on August 17, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  I was feeling a bit skeptical after I placed my order but I was proven wrong! The phone looks brand new besides some very minimal/ light scratches (almost impossible to notice) and the battery life is still at 100%. I also like that there was a screen protector on the phone,positive
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
brenda,
,
4.0 out of 5 stars,
,
"                NOT EXPECTED, GREAT PURCHASE!",positive
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on August 18, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
            I was feeling a bit skeptical after I placed my order but I was proven wrong! The phone looks brand new besides some very minimal/ light scratches (almost impossible to notice) and the battery life is still at 100%. I also like that there was a screen protector on the phone,positive
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R39GNX7EVNY944_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R39GNX7EVNY944"", ""[https://images-na.ssl-images-amazon.com/images/I/616D1BxZsFL.jpg]"", data);",
          });,
        });,
    ,
,
220 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.James Roth1.0 out of 5 stars,
Phone was NOT unlocked,negative
"Reviewed in the United States on November 27, 2019Verified Purchase",
,
  Phone was not unlocked could it use it,negative
,
,
224 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Craigs1.0 out of 5 stars,
Terribly Flawed. Donâ€™t waste your time.,negative
"Reviewed in the United States on October 16, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  The screen came cracked and popped out of the frame. Hopefully the return process goes smoothly.,negative
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Craigs,
,
1.0 out of 5 stars,
,
                Terribly Flawed. Donâ€™t waste your time.,negative
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on October 16, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
            The screen came cracked and popped out of the frame. Hopefully the return process goes smoothly.,negative
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:RN0FL8I974XM4_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""RN0FL8I974XM4"", ""[https://images-na.ssl-images-amazon.com/images/I/611I83bFhxL._SL1600_.jpg, https://images-na.ssl-images-amazon.com/images/I/61RWc921hRL._SL1600_.jpg, https://images-na.ssl-images-amazon.com/images/I/71tgprq-49L._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
181 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Josie5.0 out of 5 stars,
Basically brand new!,positive
"Reviewed in the United States on February 24, 2020Size: 64GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  This is the best experience I have ever had with buying a renewed phone. The phone came in itâ€™s original box with original charger and cable and the phone looks excellent, not one scratch on it absolutely beautiful and the battery health was at 100%. I definitely recommend the seller GoOverstock, as I will definitely be buying from them again.",positive
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Josie,
,
5.0 out of 5 stars,
,
                Basically brand new!,positive
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on February 24, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            This is the best experience I have ever had with buying a renewed phone. The phone came in itâ€™s original box with original charger and cable and the phone looks excellent, not one scratch on it absolutely beautiful and the battery health was at 100%. I definitely recommend the seller GoOverstock, as I will definitely be buying from them again.",positive
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R38NRMPE8FUNRA_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R38NRMPE8FUNRA"", ""[https://images-na.ssl-images-amazon.com/images/I/61YDXeO8JDL.jpg, https://images-na.ssl-images-amazon.com/images/I/71EOh5jLZ6L.jpg]"", data);",
          });,
        });,
    ,
,
204 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Nicolas Guerrero3.0 out of 5 stars,
Be careful used phones,negative
"Reviewed in the United States on January 29, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Be careful mine had a scratch on screen very small but still ðŸ˜¢ their Used. People dont want used I phones with scratches,negative
,
,
192 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Alexandria5.0 out of 5 stars,
Best purchase this year,positive
"Reviewed in the United States on April 1, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  I fought it for the longest time but I finally gave in and upgraded to the iPhone 11 from the iPhone 7. I looked other places online, but the price was way out of my price point. I felt comfortable buying this phone from Amazon because it was certified refurbished and Iâ€™m still happy that I did.",positive
,
,
189 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Amanda L.3.0 out of 5 stars,
wasnâ€™t too happy with phone turning off a few times on its own once setting up.,negative
"Reviewed in the United States on November 23, 2019Size: 64GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  The box didnâ€™t come with ear phones. The phone kept turning off by itself after set up. Some apps had to be deleted before theyâ€™d quit shutting off on their own.,negative
,
,
130 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Rayanna Mills5.0 out of 5 stars,
So an amazing phone!,positive
"Reviewed in the United States on May 8, 2020Size: 64GBColor: WhiteService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
,
,
,
                    The media could not be loaded.,
                ,
,
,
,
,
"  Â I just wanna tell everybody this is NOT A SCAM!!!! This phone is so amazing, great battery life, Face ID everything. Unfortunately mine didnâ€™t come in an iPhone box but I was too much worried about that but it did come w/ a charger . Please get this phone  donâ€™t let any of these reviews scare you! I will be doing a month review on this phone for more updates. Brand new and unlocked Iâ€™m paired with cricket so everything transferred over so easily!",positive
,
,
78 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Shash Arcot5.0 out of 5 stars,
The iPhone review,
"Reviewed in the United States on January 25, 2020Size: 64GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  My iPhone came with a big scuff on the corner (aluminum frame)  and a small (not really noticible) scratch on the front and back of the phone. I got the 64 gb product red unlocked iPhone 11 which was, I believe a Verizon unlocked phone. My phone came in the iPhone 11 apple box with a original apple charger and original apple brick.  When I set up my phone I just put in my T-Mobile sim and the phone started working with my data. I did not need to get it activated or anything.",neutral
,
,
57 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.,
Amazon Customer5.0 out of 5 stars,
Good buy,positive
"Reviewed in the United States on November 26, 2019Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Working well so far, looks new.",positive
,
,
77 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.ALICIA LIVINGSTON1.0 out of 5 stars,
My phone was damaged,negative
"Reviewed in the United States on December 28, 2019Size: 64GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  My phone re start over and over again, that's so sad because the i phone looks like newðŸ˜¶",negative
,
,
62 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Courtney Huschka5.0 out of 5 stars,
Highly Recommend,positive
"Reviewed in the United States on April 3, 2020Size: 128GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  I received my phone a day early and it came exactly as I imagined. I was a little nervous buying a refurbished phone on the internet, but I truly have no complaints. The phone came in perfect, like new condition and has been working great with my carrier and in general.Came with a charger and charging block as mentioned in the description. It also came with a screen protector that was already put on the screen! That was an awesome and much appreciated touch. Thereâ€™s also 60 day warranty and free returns just in case something were to happen.Iâ€™m incredibly pleased. Would definitely recommend to anyone!",positive
,
,
42 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Corrine5.0 out of 5 stars,
good price great quality,positive
"Reviewed in the United States on May 13, 2020Size: 128GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  been using iphones for a a long time. i needed a new one & saw this online for a good price. i dont have any complaints it works great. camera quality is amazing. it came with a charger, but *did not come with headphones* and it did not come in the classic â€œiPhoneâ€ packaging which didnt bug me but other people might care. i definitely recommend but if you want the headphones id buy them separately.",positive
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Corrine,
,
5.0 out of 5 stars,
,
                good price great quality,positive
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on May 13, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            been using iphones for a a long time. i needed a new one & saw this online for a good price. i dont have any complaints it works great. camera quality is amazing. it came with a charger, but *did not come with headphones* and it did not come in the classic â€œiPhoneâ€ packaging which didnt bug me but other people might care. i definitely recommend but if you want the headphones id buy them separately.",positive
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R3OLTZ96L2YXU3_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R3OLTZ96L2YXU3"", ""[https://images-na.ssl-images-amazon.com/images/I/61bJ3mdkdrL.jpg]"", data);",
          });,
        });,
    ,
,
44 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Nick ouimet1.0 out of 5 stars,
Will not buy amazon Certified renewed Again,negative
"Reviewed in the United States on May 7, 2020Size: 128GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Amazon renewed phone. Was expecting minor cosmetic issue as described, however there was a decent size mark above the volume down button and the volume down button does not function properly. Contacted amazon and the seller and have not gotten this resolved.",negative
,
,
45 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Linda1.0 out of 5 stars,
"Misled,",negative
"Reviewed in the United States on December 26, 2019Size: 256GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  Very disappointed with this purchase: Was same price as a brand new Apple I-Phone. This phone had 2 deep scratches on screen, did not come with earphones, was not an Apple charging cord, (although it had a sticker saying it was), was not an Apple charger. Also was never able to install I cloud.",negative
,
,
48 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.S Markov1.0 out of 5 stars,
Donâ€™t trust Tech Exchange!,negative
"Reviewed in the United States on May 19, 2020Size: 64GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Donâ€™t trust the refurbished phone from Tech Exchange!! The ear speaker on this phone does not work. I can turn the phone on speaker phone and make a phone call but when you try and take it off speakerphone all you hear is garbled voices and a lot of static. You can understand about every 10th word.  Then today when trying to make a phone call with the speakerphone every time I pushed one of the numbers to dial in the number from the pack and made a really loud high-pitched tone. When  I hit the side button to try and shut the sound off the screen went black and it still was making this weird high-pitched sound that ended up stopping after about 30-45 seconds very annoying. I finally had to shut the phone completely off and turn it back on at which point I was able to make a call on speakerphone. Iâ€™ve never had problems like this with a refurbished phone! After doing a chat with Amazon they told me I had to handle it with the seller who is supposed to be calling me to provide me with a prepaid label to return it and to discuss a replacement phone. The return policy says I have to return the phone to them and then they have two weeks to give me a refund on my money so that it will be another two weeks before a order a different phone.I just want to say that after I finally received a call from them my refund was processed very promptly.,negative
,
,
41 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Edgar Ortiz Romero1.0 out of 5 stars,
It is scam. Beware!!!!,negative
"Reviewed in the United States on November 1, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
,
,
,
                    The media could not be loaded.,
                ,
,
,
,
,
"  Â I purchased this iPhone 11 because it said it was unlocked. I have always owned unlocked iphones and never had troubles with them. I live in Guatemala. This iPhone 11 was working for a few days but all of the sudden ""stopped"" recognizing my SIM card. As you can see in the video the issue is not my SIM card because it works in my old and unlocked iPhone 8. Since I am not in the USA I lost almost $600. Beware, don't buy this product. It is a complete scam.",negative
,
,
28 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Deonna Henry1.0 out of 5 stars,
HORRIBLE !!,negative
"Reviewed in the United States on April 26, 2020Size: 64GBColor: RedService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  I havenâ€™t had the phone for 2 weeks and now the power button isnâ€™t working and now the seller isnâ€™t responding !!!,negative
,
,
40 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Ana R.4.0 out of 5 stars,
everything OK but the price is still too high compared to a new one with all original accessoires,negative
"Reviewed in the United States on April 15, 2020Size: 64GBColor: PurpleService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  IPhone was shipped in two-day delivery. The box inside of a FedEx bag came opened but the FedEx bag itself was untouched, so I presume it was not completely closed before sealing the bag. The phone came with no scratch or sign of usage at all, a screen protector (nice touch) and generic certified usb cable and charger. No earphones as described. Battery life is 100%. So far it looks and works good. Im only a little concerned that it gets quite hot in the back.Im only doing the math and believe $639.99 is still a high price for a refurbished. If you want replace the generic stuff by purchasing an original charger + cable + earpods + connector, the total price will go beyond a brand new phone.",positive
,
,
29 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.,
David Frye1.0 out of 5 stars,
"Not ""Fully unlocked and compatible with any carrier of choice""",negative
"Reviewed in the United States on April 24, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  ""Fully unlocked and compatible with any carrier of choice"" is is a false statement in their add for Amazon. When I received the phone there was a paper inside the box saying not compatible with Sprint or Boost Mobile. I happen to use one of those carriers, and rather then erasing all my info that I already had transferred from my old phone to the new phone and mailing the phone back I chose to switch carriers which was an additional pain. So BuySPRY won in the end but I will never purchase from them again.",negative
,
,
37 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Amazon Customer5.0 out of 5 stars,
Great product. Looks and works exactly like new,positive
"Reviewed in the United States on December 14, 2019Size: 64GBColor: GreenService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Great product. Looks and works exactly like new,positive
,
,
36 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Davanna Gilchrist5.0 out of 5 stars,
This is not a scam!!! Please read!!,positive
"Reviewed in the United States on September 23, 2020Size: 64GBColor: WhiteService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
"  This is not a scam!! I repeat this is not a scam! I love iPhones, I always want a nice good working phone that I know wonâ€™t take a dump in me because me being a single mom I need to beable to keep in touch with school and grandpa so if anything happens Iâ€™m aware right away! I love this phone! No scratches no dings! Itâ€™s like brand new!!! It looks new! And works like new!!! Comes with a screen protector! I am in love!!! The battery capacity is 100%! And itâ€™s a killer deal for the price of this kind of phone!! Itâ€™s well worth it and it came in two days with my Amazon prime earlier than it said it would! You will be happy! I highly recommend!",positive
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Davanna Gilchrist,
,
5.0 out of 5 stars,
,
                This is not a scam!!! Please read!!,positive
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on September 24, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
"            This is not a scam!! I repeat this is not a scam! I love iPhones, I always want a nice good working phone that I know wonâ€™t take a dump in me because me being a single mom I need to beable to keep in touch with school and grandpa so if anything happens Iâ€™m aware right away! I love this phone! No scratches no dings! Itâ€™s like brand new!!! It looks new! And works like new!!! Comes with a screen protector! I am in love!!! The battery capacity is 100%! And itâ€™s a killer deal for the price of this kind of phone!! Itâ€™s well worth it and it came in two days with my Amazon prime earlier than it said it would! You will be happy! I highly recommend!",positive
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R1V4FV0BQX4NNO_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R1V4FV0BQX4NNO"", ""[https://images-na.ssl-images-amazon.com/images/I/61aaH3oy65L._SL1600_.jpg, https://images-na.ssl-images-amazon.com/images/I/61kdNrZeJML._SL1600_.jpg]"", data);",
          });,
        });,
    ,
,
24 people found this helpful,
,
          Helpful,
,
